"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"7","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,360,672"
"7","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.44"
"8","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,659,232"
"8","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,346,592"
"8","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.30"
"9","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,685,472"
"9","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,364,032"
"9","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.31"
"10","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,568,608"
"10","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,319,104"
"10","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.31"
"11","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,592,064"
"11","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,326,624"
"11","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.38"
"12","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,647,040"
"12","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,364,096"
"12","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.39"
"13","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,627,328"
"13","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,368,672"
"13","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.49"
"14","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,649,280"
"14","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,342,944"
"14","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.39"
"15","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,601,536"
"15","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,336,960"
"15","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.18"
"16","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,694,368"
"16","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,352,448"
"16","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.39"
"17","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,653,984"
